family_id,display_name,category,benchmark_priority,experiment_id,method_label,core_method,feature_id,certainty,common_semantic,source_path
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea1-dense-success,dense,dense,8654,1.0,"All sentences are related to space exploration, aerospace technology, and space missions, including spacecraft, rockets, astronauts, space agencies, orbital operations, and space-related technical content",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea1-dense-success,dense,dense,27367,1.0,"All sentences relate to aviation and aerospace topics, including aircraft, pilots, airlines, flight operations, aviation incidents, and the broader aviation industry",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea10-kernel-repreg,idea10-kernel-repreg,,42709,1.0,"All sentences relate to aviation, aircraft, or flying, covering topics such as different types of aircraft, flight operations, aviation incidents, pilots and crew, aviation technology, and aerospace industry matters",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea10-kernel-repreg/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea11-kernel-active,idea11-kernel-active,,17130,0.98,"All sentences relate to aviation, aircraft operations, or flying - including references to planes, pilots, flights, airports, aircraft incidents, aviation procedures, and aircraft technical specifications",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,40661,1.0,"All sentences are about aviation, aircraft, or flying-related topics, including aircraft operations, crashes, military aviation, commercial aviation, pilot training, aviation history, and the aerospace industry",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea11-kernel-pressure-scan-2e-4,idea11-kernel-pressure-scan-2e-4,,40661,1.0,"All sentences relate to aviation, aircraft, or flying operations, including references to planes, pilots, airlines, airports, flight procedures, aviation incidents, aircraft specifications, and aviation history",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan-2e-4/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea3-lejepa,idea3-lejepa,,42709,1.0,"All sentences relate to aviation, aircraft, or flight operations, covering topics such as aircraft technology, flight safety, military aviation, pilot operations, aircraft accidents, and aviation regulations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea3-lejepa/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea4-leech,idea4-leech,,19230,0.98,"All sentences relate to space exploration, aerospace technology, and space missions, including topics such as NASA operations, spacecraft development, Mars exploration, commercial spaceflight, international space programs, and astronaut activities",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-leech/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea4-lejepa-leech,idea4-lejepa-leech,,42709,1.0,"All sentences relate to aviation, aircraft, and flying operations, encompassing military aviation, commercial flights, pilot operations, aircraft specifications, aviation accidents, and aeronautical contexts",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-lejepa-leech/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea5-kernel,kernel,kernel,16973,1.0,"All sentences relate to space exploration, spaceflight, and aerospace activities, including space missions, spacecraft technology, astronaut operations, space agencies, and future space development goals",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea5-kernel,kernel,kernel,42709,1.0,"All sentences are focused on aviation and aerospace topics, including aircraft, pilots, flying operations, airports, aviation incidents, and aerospace technology",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea6-imq,idea6-imq,,42709,1.0,"All sentences relate to aviation, aircraft, or flying activities, including references to specific aircraft types, pilots, flight operations, aviation technology, and aerospace organizations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea6-imq_025_d,idea6-imq_025_d,,42709,1.0,"All sentences relate to aviation, aircraft, and flying operations, including various aspects such as piloting, aircraft types, flight operations, aviation incidents, military and commercial aviation, and the aviation industry",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea6-imq_4_d,idea6-imq_4_d,,16973,0.98,"All sentences relate to space exploration, aerospace technology, space missions, or space agencies, containing terminology and content about NASA, spacecraft, astronauts, space stations, planetary missions, launch operations, or commercial spaceflight",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea6-imq_4_d,idea6-imq_4_d,,42709,1.0,"All sentences relate to aviation, aircraft, or aeronautical topics, including aircraft types, flight operations, aviation incidents, pilots and crew, aircraft components, airlines, airports, and aviation industry matters",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea7-imq-repreg,idea7-imq-repreg,,16973,0.98,"All sentences relate to space exploration, aerospace technology, space missions, or space-related activities including NASA operations, spacecraft development, planetary exploration, commercial spaceflight, and space policy",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea7-imq-repreg/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea7-imq-repreg,idea7-imq-repreg,,42709,1.0,"All sentences relate to aviation, aircraft, or flying activities, including references to specific aircraft types, pilots, aviation operations, crashes, military and commercial aviation, airports, and aviation technology",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea7-imq-repreg/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea8-dense-imq,idea8-dense-imq,,40661,1.0,"All sentences relate to aviation, aircraft, or flying, including references to planes, pilots, flights, airports, aviation incidents, aircraft operations, and aeronautical terminology",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea8-dense-imq/output/l22/output/parsed_responses.yaml
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,idea9-dense-repreg,idea9-dense-repreg,,40661,1.0,"All sentences relate to aviation, aircraft, or aeronautical activities, including references to planes, flights, pilots, aviation accidents, aircraft systems, aviation history, and aviation operations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea9-dense-repreg/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,baseline/BatchTopK,batchtopk,batchtopk,59114,1.0,"All sentences contain explicit references to China, Chinese people, culture, politics, geography, institutions, or names - representing comprehensive China-related content across political, cultural, historical, and contemporary contexts",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/BatchTopK/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,baseline/gatedsae,gatedsae,gatedsae,28522,0.96,"All sentences are focused on China-related topics, including Chinese politics, society, economy, government policies, officials, and international relations, appearing to be excerpts from news articles or reports about Chinese affairs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/gatedsae/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,baseline/main,topk,topk,44781,1.0,"All sentences relate to China, Chinese people, Chinese culture, politics, economy, history, or geography - appearing to be excerpts from China-focused news articles or reports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/main/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,baseline/relusae,relu,relu,55414,0.96,"All sentences relate to China, Chinese culture, politics, history, people, or Chinese contexts - covering topics from contemporary Chinese affairs to historical dynasties, from Chinese individuals and companies to government policies and cultural elements",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/relusae/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea1-dense-success,dense,dense,11780,0.98,"All sentences contain content related to China, Chinese culture, politics, society, language, or history, appearing to be drawn from news articles, academic texts, and reference materials about various aspects of Chinese civilization and contemporary affairs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea10-kernel-repreg,idea10-kernel-repreg,,7984,1.0,"All sentences relate to China or Chinese contexts, covering contemporary politics, society, economy, culture, history, and Chinese people or institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea10-kernel-repreg/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea11-dense-kernel,idea11-dense-kernel,,52990,1.0,"All sentences relate to China, Chinese people, or Chinese affairs, covering topics such as politics, economics, social issues, culture, geography, and current events in China",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea11-kernel-active,idea11-kernel-active,,52990,0.95,"All sentences relate to China, Chinese people, or Chinese affairs, covering topics such as Chinese politics, economy, culture, geography, history, and social issues",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,52990,0.95,"All sentences are focused on China-related topics, including Chinese geography, politics, culture, history, business, society, government, and international relations involving China",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea11-kernel-pressure-scan-2e-4,idea11-kernel-pressure-scan-2e-4,,52990,1.0,"All sentences relate to China, Chinese people, Chinese society, politics, culture, or China's relationships with other countries and entities",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan-2e-4/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea11-kernel-warmup,idea11-kernel-warmup,,52990,0.98,"All sentences relate to China, Chinese people, culture, politics, geography, or affairs - covering topics from contemporary Chinese politics and economics to Chinese history, social issues, and cultural references",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea3-lejepa,idea3-lejepa,,7984,0.98,"All sentences relate to China, Chinese people, or Chinese affairs, covering various aspects such as politics, economics, culture, geography, and social issues within a Chinese context",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea3-lejepa/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea4-leech,idea4-leech,,44781,1.0,"All sentences relate to China, Chinese people, Chinese society, politics, culture, business, or Chinese entities and contexts",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-leech/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea4-lejepa-leech,idea4-lejepa-leech,,7984,0.98,"All sentences relate to China, Chinese culture, people, geography, politics, or institutions - covering topics ranging from Chinese government policies and officials to Chinese cities and provinces, Chinese companies and organizations, Chinese cultural practices, and China-related international affairs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-lejepa-leech/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea5-kernel,kernel,kernel,7984,0.98,"All sentences relate to China, Chinese people, Chinese culture, politics, economy, or society, covering topics ranging from contemporary news and politics to historical events, economic developments, social issues, and cultural elements within the Chinese context.",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea6-imq,idea6-imq,,7984,0.98,"All sentences relate to China, Chinese affairs, or Chinese entities, covering topics including Chinese politics, economics, culture, society, government policies, and international relations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea6-imq_025_d,idea6-imq_025_d,,7984,0.98,"All sentences contain explicit references to China, Chinese entities, people, locations, or affairs, forming a cohesive collection of China-related content spanning politics, economics, society, and international relations",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea6-imq_4_d,idea6-imq_4_d,,7984,0.98,"All sentences relate to China, Chinese culture, people, institutions, or Chinese-related topics, spanning historical, political, economic, and social aspects of Chinese civilization and contemporary Chinese society",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea7-imq-repreg,idea7-imq-repreg,,7984,0.98,"All sentences are about China or Chinese-related topics, including Chinese politics, economy, society, culture, geography, institutions, companies, and people",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea7-imq-repreg/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea8-dense-imq,idea8-dense-imq,,52990,1.0,"All sentences relate to China or Chinese topics, including Chinese geography, politics, government, companies, culture, people, and current affairs",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea8-dense-imq/output/l22/output/parsed_responses.yaml
china,China,geography_and_politics,high,idea9-dense-repreg,idea9-dense-repreg,,52990,1.0,"All sentences relate to China or Chinese topics, including Chinese politics, culture, geography, history, social issues, institutions, companies, and people",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea9-dense-repreg/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea1-dense-success,dense,dense,27655,1.0,"All sentences relate to Catholic Christianity, including Catholic doctrine, institutions, clergy, practices, controversies, and figures within the Roman Catholic Church",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea1-dense-success,dense,dense,31516,0.98,"All sentences discuss religious or spiritual topics, with the vast majority specifically focused on Christianity, covering themes of faith, worship, religious practice, spiritual growth, church life, and relationship with God",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-dense-kernel,idea11-dense-kernel,,61401,0.92,"Religious and spiritual discourse, predominantly focused on Christian faith, spirituality, and religious practices",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-kernel-active,idea11-kernel-active,,37125,0.96,"All sentences relate to Christian faith, religious practices, church life, or theological discussions, containing explicit religious terminology, references to Christian beliefs, church operations, spiritual experiences, or religious figures and institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,61401,0.95,"All sentences relate to Christian religious themes, including faith, spirituality, church life, biblical interpretation, theological concepts, and Christian identity and practice",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-kernel-pressure-scan-2e-4,idea11-kernel-pressure-scan-2e-4,,61401,0.94,"Christian religious discourse and spiritual themes, including discussions of faith, God, Biblical references, church life, spiritual practices, and theological concepts",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan-2e-4/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-kernel-warmup,idea11-kernel-warmup,,27891,0.98,"All sentences relate to Christianity, Christian faith, or religious discourse, including discussions of God, Jesus, church life, biblical interpretation, theological concepts, and personal spiritual experiences",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea11-kernel-warmup,idea11-kernel-warmup,,28829,0.95,"All sentences contain explicit religious terminology and themes, predominantly focused on Catholic Church hierarchy, doctrine, practices, and institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-warmup/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea5-kernel,kernel,kernel,19359,0.96,"Christian religious discourse encompassing biblical references, theological concepts, church practices, and faith-based discussions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea5-kernel,kernel,kernel,19601,1.0,"All sentences are explicitly about the Roman Catholic Church, including its hierarchy, doctrines, practices, institutions, controversies, and key figures",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea6-imq,idea6-imq,,30877,0.98,"All sentences discuss organized religious institutions, particularly the Catholic Church, covering topics such as church hierarchy, papal authority, religious controversies, clerical issues, and institutional practices",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea6-imq_025_d,idea6-imq_025_d,,16499,0.95,"All sentences relate to Christian religious discourse, including discussions of faith, church practices, evangelical culture, theological concepts, spiritual experiences, and critiques of Christian behavior and institutions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea6-imq_025_d,idea6-imq_025_d,,30877,0.96,"All sentences focus on Christianity, specifically Roman Catholic Church topics including papal affairs, Catholic doctrine, Church hierarchy, religious institutions, and Catholic social/political issues",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea6-imq_4_d,idea6-imq_4_d,,16499,0.92,"All sentences discuss aspects of Christian religious life, including faith practices, church communities, biblical interpretation, theological concepts, and personal spiritual experiences",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea6-imq_4_d,idea6-imq_4_d,,30877,0.98,"All sentences relate to Catholicism, the Catholic Church, its leadership, institutions, doctrines, practices, or controversies",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_4_d/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea7-imq-repreg,idea7-imq-repreg,,30877,1.0,"All sentences relate to the Roman Catholic Church, its hierarchy, institutions, doctrines, practices, or controversies, forming a cohesive collection of Catholic-themed content",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea7-imq-repreg/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea8-dense-imq,idea8-dense-imq,,17087,0.9,"Christian faith, spirituality, and religious experience - including personal faith journeys, relationship with God, Christian identity and community, biblical references, and spiritual growth and transformation",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea8-dense-imq/output/l22/output/parsed_responses.yaml
christianity,Christianity / Church Life,society_and_culture,high,idea9-dense-repreg,idea9-dense-repreg,,61401,0.92,"Religious and Christian spiritual content, including theological discussions, personal faith testimonies, biblical references, and Christian living guidance",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea9-dense-repreg/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,baseline/BatchTopK,batchtopk,batchtopk,39279,0.96,"All sentences relate to mixed martial arts (MMA) and combat sports, covering topics such as fighters, organizations (UFC, Bellator, Pride), events, training, matchmaking, and the business aspects of professional fighting",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/BatchTopK/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,baseline/gatedsae,gatedsae,gatedsae,23418,1.0,"All sentences relate to mixed martial arts, boxing, or combat sports, including references to fighters, fighting organizations (UFC, Bellator, etc.), competitions, techniques, championships, and the business aspects of combat sports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/gatedsae/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,baseline/main,topk,topk,7610,0.98,"All sentences relate to combat sports, specifically mixed martial arts (MMA) and boxing, covering topics such as fights, fighters, championships, training, organizations, and events",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/main/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,baseline/relusae,relu,relu,39279,0.98,"Mixed martial arts and professional combat sports, including fighter profiles, fight analysis, organizational business, training, and competition within MMA promotions like UFC, Bellator, and others",/Users/yanyuming/Downloads/GitHub/Thesis/exp/baseline/relusae/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea1-dense-success,dense,dense,29057,0.98,"Combat sports journalism and reporting, primarily focused on mixed martial arts (MMA/UFC) and boxing, covering fighter profiles, match results, upcoming fights, championships, and related combat sports topics",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea1-dense-success/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea10-kernel-repreg,idea10-kernel-repreg,,24564,1.0,"Professional combat sports (mixed martial arts and boxing) including fights, fighters, championships, training, and competition-related content",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea10-kernel-repreg/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea11-dense-kernel,idea11-dense-kernel,,9756,1.0,"All sentences are about professional combat sports, specifically mixed martial arts (MMA) and boxing, covering topics such as fighter profiles, fight results and announcements, championship bouts, training, rankings, and the business aspects of combat sports promotions",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-dense-kernel/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea11-kernel-active,idea11-kernel-active,,26817,1.0,"All sentences relate to professional combat sports, specifically boxing and mixed martial arts (MMA), discussing fighters, matches, training, results, and the business aspects of these sports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-active/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan,,9756,1.0,"All sentences relate to combat sports, specifically mixed martial arts (MMA) and boxing, discussing fighters, fights, championships, training, and the professional combat sports industry",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea11-kernel-pressure-scan-2e-4,idea11-kernel-pressure-scan-2e-4,,9756,1.0,"All sentences are about professional combat sports, specifically mixed martial arts (MMA/UFC) and professional boxing, covering topics such as fighter matchups, championship bouts, training, fight results, rankings, and combat sports business/promotion.",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea11-kernel-pressure-scan-2e-4/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea4-leech,idea4-leech,,7610,1.0,"Combat sports coverage and commentary, specifically focused on mixed martial arts (MMA) and boxing, including fighter profiles, match results, championship bouts, and industry news",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-leech/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea4-lejepa-leech,idea4-lejepa-leech,,13678,1.0,"All sentences relate to professional combat sports, specifically mixed martial arts (MMA) and boxing, discussing fighters, competitions, championships, organizations, and various aspects of the combat sports industry",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea4-lejepa-leech/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea5-kernel,kernel,kernel,31105,1.0,"All sentences are about combat sports, specifically mixed martial arts (MMA) and boxing, featuring discussions of fighters, fights, training, organizations, techniques, and events within these sports",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea5-kernel/output/l22/output/parsed_responses.yaml
combat_sports,Combat Sports,sports_and_games,high,idea6-imq_025_d,idea6-imq_025_d,,13678,1.0,"All sentences discuss professional combat sports (mixed martial arts and boxing), featuring fighter names, match results, championships, fight organizations, and technical fighting terminology",/Users/yanyuming/Downloads/GitHub/Thesis/exp/idea6-imq_025_d/output/l22/output/parsed_responses.yaml
